1;1913 Loja One;463;Nagasaki;35208
2;1121 Loja Two;449;California;17887
3;400 Pedro Jose;38;Natou;99609
4;45 Dom Manuel;120;Texas;96099
5;1913 Hanoi Way;463;Nagasaki;35200
6;1121 Loja Avenue;449;California;17886
7;692 Joliet Street;38;Attika;83579
8;1566 Inegl Manor;349;Mandalay;53561
9;53 Idfu Parkway;361;Nantou;42399
10;1795 Santiago de Compostela Way;295;Texas;18743
11;900 Santiago de Compostela Parkway;280;Central Serbia;93896
12;478 Joliet Way;200;Hamilton;77948
13;613 Korolev Drive;329;Masqat;45844
14;1531 Sal Drive;162;Esfahan;53628
15;1542 Tarlac Parkway;440;Kanagawa;1027
16;808 Bhopal Manor;582;Haryana;10672
17;270 Amroha Parkway;384;Osmaniye;29610
18;770 Bydgoszcz Avenue;120;California;16266
19;419 Iligan Lane;76;Madhya Pradesh;72878
20;360 Toulouse Parkway;495;England;54308
21;270 Toulon Boulevard;156;Kalmykia;81766
22;320 Brest Avenue;252;Kaduna;43331
23;1417 Lancaster Avenue;267;Northern Cape;72192
24;1688 Okara Way;327;Nothwest Border Prov;21954
25;262 A Corua (La Corua) Parkway;525;Dhaka;34418
26;28 Charlotte Amalie Street;443;Rabat-Sal-Zammour-Z;37551
27;1780 Hino Boulevard;303;Liepaja;7716
28;96 Tafuna Way;128;Crdoba;99865
29;934 San Felipe de Puerto Plata Street;472;Sind;99780
30;18 Duisburg Boulevard;121;;58327
31;217 Botshabelo Place;138;Southern Mindanao;49521
32;1425 Shikarpur Manor;346;Bihar;65599
33;786 Aurora Avenue;474;Yamaguchi;65750
34;1668 Anpolis Street;316;Taipei;50199
35;33 Gorontalo Way;257;West Bengali;30348
36;176 Mandaluyong Place;239;Uttar Pradesh;65213
37;127 Purnea (Purnia) Manor;17;Piemonte;79388
38;61 Tama Street;284;Okayama;94065
39;391 Callao Drive;544;Midi-Pyrnes;34021
40;334 Munger (Monghyr) Lane;31;Markazi;38145
41;1440 Fukuyama Loop;362;Henan;47929
42;269 Cam Ranh Parkway;115;Chisinau;34689
43;306 Antofagasta Place;569;Esprito Santo;3989
44;671 Graz Street;353;Oriental;94399
45;42 Brindisi Place;586;Yerevan;16744
46;1632 Bislig Avenue;394;Nonthaburi;61117
47;1447 Imus Way;167;Tahiti;48942
48;1998 Halifax Drive;308;Lipetsk;76022
49;1718 Valencia Street;27;Antofagasta;37359
50;46 Pjatigorsk Lane;343;Moscow (City);23616
51;686 Garland Manor;247;Cear;52535
52;909 Garland Manor;367;Tatarstan;69367
53;725 Isesaki Place;237;Mekka;74428
54;115 Hidalgo Parkway;379;Khartum;80168
55;1135 Izumisano Parkway;171;California;48150
56;939 Probolinggo Loop;1;Galicia;4166
57;17 Kabul Boulevard;355;Chiba;38594
58;1964 Allappuzha (Alleppey) Street;227;Yamaguchi;48980
59;1697 Kowloon and New Kowloon Loop;49;Moskova;57807
60;1668 Saint Louis Place;397;Tahiti;39072
61;943 Tokat Street;560;Vaduz;45428
62;1114 Liepaja Street;282;Sarawak;69226
63;1213 Ranchi Parkway;350;Karnataka;94352
64;81 Hodeida Way;231;Rajasthan;55561
65;915 Ponce Place;56;Basel-Stadt;83980
66;1717 Guadalajara Lane;441;Missouri;85505
67;1214 Hanoi Way;306;Nebraska;67055
68;1966 Amroha Avenue;139;Sichuan;70385
69;698 Otsu Street;105;Cayenne;71110
70;1150 Kimchon Manor;321;Skne ln;96109
71;1586 Guaruj Place;579;Hunan;5135
72;57 Arlington Manor;475;Madhya Pradesh;48960
73;1031 Daugavpils Parkway;63;Bchar;59025
74;1124 Buenaventura Drive;13;Mekka;6856
75;492 Cam Ranh Street;61;Eastern Visayas;50805
76;89 Allappuzha (Alleppey) Manor;517;National Capital Reg;75444
77;1947 Poos de Caldas Boulevard;114;Chiayi;60951
